# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python ../run_BUSCO.py -i /data3/lanelab/liz/BIO594/Neph/Neph_wmm3_nulc.fasta -o nephbusco -l /data3/lanelab/liz/BIO594/alveolata_stramenophiles_ensembl/ -m tran -c 1 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00180000031570	Duplicated	TRINITY_DN94495_c0_g1_i1|m.47502	426.8	403
EPrGT00180000031570	Duplicated	TRINITY_DN94495_c0_g2_i1|m.47503	426.8	403
EPrGT00180000031577	Duplicated	TRINITY_DN174213_c0_g1_i2|m.140920	322.4	242
EPrGT00180000031577	Duplicated	TRINITY_DN174430_c0_g1_i1|m.141452	322.4	242
EPrGT00180000031577	Duplicated	TRINITY_DN174430_c0_g2_i1|m.141453	317.3	242
EPrGT00190000034834	Missing
EPrGT00300000062272	Missing
EPrGT00300000062282	Duplicated	TRINITY_DN151592_c0_g1_i1|m.101052	423.9	273
EPrGT00300000062282	Duplicated	TRINITY_DN171111_c0_g2_i1|m.134111	423.9	273
EPrGT00300000062282	Duplicated	TRINITY_DN173828_c0_g1_i4|m.140188	420.7	273
EPrGT00300000062292	Missing
EPrGT00300000062294	Duplicated	TRINITY_DN180077_c1_g2_i1|m.155653	261.2	243
EPrGT00300000062294	Duplicated	TRINITY_DN181754_c0_g1_i1|m.160231	261.2	243
EPrGT00300000062297	Missing
EPrGT00300000062306	Missing
EPrGT00300000062307	Duplicated	TRINITY_DN175733_c0_g1_i1|m.144461	710.9	358
EPrGT00300000062307	Duplicated	TRINITY_DN182749_c0_g1_i1|m.162820	713.8	358
EPrGT00300000062311	Complete	TRINITY_DN130789_c0_g1_i1|m.77125	346.6	318
EPrGT00300000062313	Duplicated	TRINITY_DN156074_c0_g1_i1|m.107844	349.8	282
EPrGT00300000062313	Duplicated	TRINITY_DN170407_c0_g1_i1|m.132417	349.8	282
EPrGT00300000062326	Missing
EPrGT00300000062330	Missing
EPrGT00300000062331	Duplicated	TRINITY_DN151854_c0_g2_i2|m.101514	696.9	476
EPrGT00300000062331	Duplicated	TRINITY_DN160196_c0_g1_i1|m.113931	696.9	476
EPrGT00300000062349	Missing
EPrGT00300000062353	Missing
EPrGT00310000126007	Missing
EPrGT00310000126008	Duplicated	TRINITY_DN112677_c0_g2_i1|m.61040	318.9	196
EPrGT00310000126008	Duplicated	TRINITY_DN124238_c2_g1_i1|m.70963	329.0	198
EPrGT00310000126008	Duplicated	TRINITY_DN21883_c0_g1_i1|m.10155	326.2	197
EPrGT00310000126010	Missing
EPrGT00310000126014	Missing
EPrGT00310000126021	Missing
EPrGT00740000041354	Missing
EPrGT00740000041381	Duplicated	TRINITY_DN21485_c0_g2_i1|m.9923	219.3	187
EPrGT00740000041381	Duplicated	TRINITY_DN87791_c0_g1_i1|m.43491	214.2	208
EPrGT00740000041381	Duplicated	TRINITY_DN90875_c0_g1_i1|m.45483	214.8	208
